,subject,trick,duration,memory,time
0,12,7,8,0,0
1,12,7,8,0,10
2,12,7,8,0,45
3,12,7,8,0,135
0,12,8,6,1,0
1,12,8,6,0,10
2,12,8,6,0,45
3,12,8,6,0,135
0,13,1,10,1,0
1,13,1,10,1,10
0,13,2,14,1,0
1,13,2,14,0,10
0,13,3,8,1,0
1,13,3,8,0,10
0,13,4,0,1,0
1,13,4,0,0,10
0,13,5,0,1,0
1,13,5,0,1,10
0,13,6,4,1,0
1,13,6,4,1,10
0,13,7,0,1,0
1,13,7,0,1,10
0,13,8,0,0,0
1,13,8,0,0,10
0,14,1,68,0,0
2,14,1,68,0,45
3,14,1,68,0,135
0,14,2,6,0,0
2,14,2,6,0,45
3,14,2,6,0,135
0,14,3,12,0,0
2,14,3,12,0,45
3,14,3,12,1,135
0,14,4,14,1,0
2,14,4,14,1,45
3,14,4,14,0,135
0,14,5,0,1,0
2,14,5,0,1,45
3,14,5,0,0,135
0,14,6,6,0,0
2,14,6,6,0,45
3,14,6,6,0,135
0,14,7,12,0,0
2,14,7,12,0,45
3,14,7,12,0,135
0,14,8,0,1,0
2,14,8,0,0,45
3,14,8,0,0,135
0,15,1,4,0,0
1,15,1,4,0,10
2,15,1,4,0,45
3,15,1,4,0,135
0,15,2,6,0,0
1,15,2,6,0,10
2,15,2,6,1,45
3,15,2,6,0,135
0,15,3,2,1,0
1,15,3,2,1,10
2,15,3,2,1,45
3,15,3,2,1,135
0,15,4,2,1,0
1,15,4,2,0,10
2,15,4,2,0,45
3,15,4,2,0,135
0,15,5,0,1,0
1,15,5,0,1,10
2,15,5,0,1,45
3,15,5,0,1,135
0,15,6,0,1,0
1,15,6,0,1,10
2,15,6,0,1,45
3,15,6,0,1,135
0,15,7,0,0,0
1,15,7,0,0,10
2,15,7,0,0,45
3,15,7,0,0,135
0,15,8,12,1,0
1,15,8,12,1,10
2,15,8,12,1,45
3,15,8,12,1,135
0,16,1,4,0,0
1,16,1,4,0,10
2,16,1,4,0,45
3,16,1,4,0,135
0,16,2,10,1,0
1,16,2,10,1,10
2,16,2,10,0,45
3,16,2,10,1,135
0,16,3,8,1,0
1,16,3,8,1,10
2,16,3,8,0,45
3,16,3,8,0,135
0,16,4,6,1,0
1,16,4,6,0,10
2,16,4,6,0,45
3,16,4,6,0,135
0,16,5,2,1,0
1,16,5,2,1,10
2,16,5,2,1,45
3,16,5,2,1,135
0,16,6,0,1,0
1,16,6,0,1,10
2,16,6,0,0,45
3,16,6,0,0,135
0,16,7,0,0,0
1,16,7,0,0,10
2,16,7,0,0,45
3,16,7,0,0,135
0,16,8,10,1,0
1,16,8,10,1,10
2,16,8,10,0,45
3,16,8,10,0,135
0,17,1,0,0,0
1,17,1,0,0,10
2,17,1,0,1,45
3,17,1,0,0,135
0,17,2,8,1,0
1,17,2,8,1,10
2,17,2,8,0,45
3,17,2,8,0,135
0,17,3,2,1,0
1,17,3,2,0,10
2,17,3,2,0,45
3,17,3,2,0,135
0,17,4,0,1,0
1,17,4,0,1,10
2,17,4,0,0,45
3,17,4,0,0,135
0,17,5,0,1,0
1,17,5,0,1,10
2,17,5,0,0,45
3,17,5,0,1,135
0,17,6,0,1,0
1,17,6,0,1,10
2,17,6,0,0,45
3,17,6,0,1,135
0,17,7,0,1,0
1,17,7,0,1,10
2,17,7,0,0,45
3,17,7,0,1,135
0,17,8,0,1,0
1,17,8,0,1,10
2,17,8,0,0,45
3,17,8,0,1,135
0,18,1,22,0,0
1,18,1,22,1,10
2,18,1,22,0,45
3,18,1,22,1,135
0,18,2,10,0,0
1,18,2,10,1,10
2,18,2,10,1,45
3,18,2,10,0,135
0,18,3,14,0,0
1,18,3,14,1,10
2,18,3,14,0,45
3,18,3,14,0,135
0,18,4,6,1,0
1,18,4,6,0,10
2,18,4,6,0,45
3,18,4,6,0,135
0,18,5,8,1,0
1,18,5,8,1,10
2,18,5,8,1,45
3,18,5,8,1,135
0,18,6,2,1,0
1,18,6,2,1,10
2,18,6,2,1,45
3,18,6,2,1,135
0,18,7,12,1,0
1,18,7,12,1,10
2,18,7,12,1,45
3,18,7,12,0,135
0,18,8,0,1,0
1,18,8,0,1,10
2,18,8,0,1,45
3,18,8,0,0,135
0,19,1,10,0,0
1,19,1,10,0,10
2,19,1,10,0,45
3,19,1,10,0,135
0,19,2,8,1,0
1,19,2,8,0,10
2,19,2,8,0,45
3,19,2,8,0,135
0,19,3,8,1,0
1,19,3,8,1,10
2,19,3,8,0,45
3,19,3,8,0,135
0,19,4,0,0,0
1,19,4,0,1,10
2,19,4,0,0,45
3,19,4,0,0,135
0,19,5,0,1,0
1,19,5,0,0,10
2,19,5,0,1,45
3,19,5,0,1,135
0,19,6,0,1,0
1,19,6,0,0,10
2,19,6,0,0,45
3,19,6,0,0,135
0,19,7,16,0,0
1,19,7,16,1,10
2,19,7,16,1,45
3,19,7,16,1,135
0,19,8,0,1,0
1,19,8,0,1,10
2,19,8,0,1,45
3,19,8,0,1,135
0,20,1,18,0,0
1,20,1,18,0,10
2,20,1,18,0,45
0,20,2,0,0,0
1,20,2,0,0,10
2,20,2,0,0,45
0,20,3,8,0,0
1,20,3,8,0,10
2,20,3,8,0,45
0,20,4,0,0,0
1,20,4,0,0,10
2,20,4,0,0,45
0,20,5,0,1,0
1,20,5,0,1,10
2,20,5,0,1,45
0,20,6,0,0,0
1,20,6,0,1,10
2,20,6,0,0,45
0,20,7,10,1,0
1,20,7,10,1,10
2,20,7,10,1,45
0,20,8,0,1,0
1,20,8,0,1,10
2,20,8,0,1,45
0,21,1,16,0,0
1,21,1,16,0,10
2,21,1,16,0,45
3,21,1,16,0,135
0,21,2,10,1,0
1,21,2,10,0,10
2,21,2,10,0,45
3,21,2,10,0,135
0,21,3,8,0,0
1,21,3,8,0,10
2,21,3,8,0,45
3,21,3,8,0,135
0,21,4,0,1,0
1,21,4,0,1,10
2,21,4,0,1,45
3,21,4,0,1,135
0,21,5,4,1,0
1,21,5,4,1,10
2,21,5,4,1,45
3,21,5,4,1,135
0,21,6,0,0,0
1,21,6,0,1,10
2,21,6,0,1,45
3,21,6,0,1,135
0,21,7,6,1,0
1,21,7,6,1,10
2,21,7,6,1,45
3,21,7,6,1,135
0,21,8,4,1,0
1,21,8,4,1,10
2,21,8,4,1,45
3,21,8,4,1,135
0,22,1,20,0,0
0,22,2,0,0,0
0,22,3,10,0,0
0,22,4,4,0,0
0,22,5,10,0,0
0,22,6,4,0,0
0,22,7,16,1,0
0,22,8,6,1,0
0,23,1,8,1,0
1,23,1,8,1,10
3,23,1,8,0,135
0,23,2,2,1,0
1,23,2,2,1,10
3,23,2,2,0,135
0,23,3,0,1,0
1,23,3,0,1,10
3,23,3,0,0,135
0,23,4,2,0,0
1,23,4,2,1,10
3,23,4,2,0,135
0,23,5,0,1,0
1,23,5,0,1,10
3,23,5,0,0,135
0,23,6,0,1,0
1,23,6,0,0,10
3,23,6,0,0,135
0,23,7,0,1,0
1,23,7,0,1,10
3,23,7,0,0,135
0,23,8,8,1,0
1,23,8,8,1,10
3,23,8,8,1,135
0,24,1,14,1,0
0,24,2,6,0,0
0,24,3,6,1,0
0,24,4,6,1,0
0,24,5,6,1,0
0,24,6,2,0,0
0,24,7,4,1,0
0,24,8,8,1,0
0,25,1,8,0,0
0,25,2,8,1,0
0,25,3,6,0,0
0,25,4,0,1,0
0,25,5,4,1,0
0,25,6,0,1,0
0,25,7,12,1,0
0,25,8,10,1,0
0,26,1,0,1,0
1,26,1,0,1,10
2,26,1,0,0,45
3,26,1,0,0,135
0,26,2,12,0,0
1,26,2,12,0,10
2,26,2,12,0,45
3,26,2,12,0,135
